  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 10:49:50	  10.000	   0.000	  102.54	  987.10	   14.12	   703.6	    -7.4	   397.4	   390.4	   488.1	     3.2	   0.000	   1.197	   239.2	    20.0	  221195	    0.00	    0.00	    0.04	    0.04	    0.00	  15.871	  16.011	   1.257	   1.228	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 10:50:43	   5.005	   0.000	  102.46	  987.09	   14.15	   426.8	   -26.8	   276.0	   280.0	   278.2	     8.9	   0.000	   1.197	   239.0	    20.0	  221081	    0.00	    0.00	    0.03	    0.04	    0.00	  15.612	  15.744	   0.923	   1.034	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 10:51:38	   0.000	   0.000	  102.76	  987.13	   14.16	   338.7	   -35.9	    50.5	    65.9	   235.5	     5.0	   0.000	   1.197	   239.7	    20.0	  221399	    0.00	    0.00	    0.03	    0.04	    0.00	  15.388	  15.513	   0.668	   0.833	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 10:52:15	  -5.000	   0.000	  102.65	  987.12	   14.17	   384.5	   -29.3	  -224.7	  -207.5	   410.8	    -3.5	   0.000	   1.197	   239.5	    20.0	  221263	    0.00	    0.00	    0.03	    0.04	    0.00	  15.288	  15.401	   0.531	   0.718	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 10:53:48	  -5.000	   0.000	  407.93	  987.11	   14.69	  1386.6	   -43.3	  -871.6	  -876.3	  1511.6	     2.0	   0.000	   1.195	   955.9	    40.0	  441040	    0.00	    0.00	    0.03	    0.04	    0.00	  15.133	  15.234	   0.274	   0.524	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 10:54:22	  -0.005	   0.000	  407.66	  987.14	   14.80	  1212.8	   -68.6	   231.7	   237.0	   859.6	    23.9	   0.000	   1.194	   955.3	    40.0	  440692	    0.00	    0.00	    0.03	    0.04	    0.00	  15.123	  15.214	   0.196	   0.473	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 10:55:00	   5.000	   0.000	  407.50	  987.13	   14.86	  1561.0	   -19.0	  1178.7	  1152.4	   778.2	    -5.3	   0.000	   1.194	   954.9	    40.0	  440483	    0.00	    0.00	    0.03	    0.04	    0.00	  15.115	  15.201	   0.121	   0.426	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 10:55:58	  10.000	   0.000	  407.55	  987.10	   14.88	  2741.4	   -24.4	  1712.0	  1681.4	  1157.9	    14.0	   0.000	   1.194	   955.0	    40.0	  440466	    0.00	    0.00	    0.03	    0.04	    0.00	  15.121	  15.188	   0.033	   0.372	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
