  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  10.000	   0.000	  1.1819	0.111830	 0.00111	 0.24138	-0.095097	  1.1833	0.001114	-0.00346	-0.05445	-0.00080	0.111830	-0.001114	1.181859	-0.00373	-0.07265	-0.00020	    6.54	   -0.06	   65.73	   -0.29	   -0.57	   -0.02	  102.54	  987.10	   14.12	   1.197	   239.2	   19.99	1.719E+5	   0.059
       2	   5.005	   0.000	  0.8269	0.064897	 0.00547	 0.13996	-0.007485	  0.8294	0.005469	-0.00374	-0.06739	-0.00100	0.064897	-0.005469	0.826886	-0.00470	-0.07795	-0.00068	    4.00	   -0.30	   46.34	   -0.36	   -0.61	   -0.05	  102.46	  987.09	   14.15	   1.197	   239.0	   19.99	1.718E+5	   0.059
       3	   0.000	   0.000	  0.3217	0.048729	 0.00892	 0.03822	0.048728	  0.3217	0.008925	-0.00356	-0.04221	-0.00036	0.048729	-0.008925	0.321713	-0.00502	-0.05013	-0.00036	    3.19	   -0.49	   18.30	   -0.39	   -0.31	   -0.03	  102.76	  987.13	   14.16	   1.197	   239.7	   20.01	1.720E+5	   0.059
       4	  -5.000	   0.000	 -0.2064	0.055094	 0.00889	 0.10098	0.036894	 -0.2104	0.008886	-0.00329	 0.15359	 0.00064	0.055094	-0.008886	-0.206422	-0.00478	 0.14462	 0.00035	    3.61	   -0.49	  -11.06	   -0.37	    1.51	    0.03	  102.65	  987.12	   14.17	   1.197	   239.5	   20.00	1.719E+5	   0.059
       5	  -5.000	   0.000	 -0.2997	0.047923	 0.00290	 0.07783	0.021619	 -0.3028	0.002904	-0.00254	 0.15352	 0.00018	0.047923	-0.002904	-0.299731	-0.00302	 0.14573	-0.00004	   12.84	   -0.64	  -64.74	   -0.93	    6.07	   -0.01	  407.93	  987.11	   14.69	   1.195	   955.9	   40.00	3.427E+5	   0.118
       6	  -0.005	   0.000	  0.2418	0.042035	 0.00354	 0.03278	0.042055	  0.2417	0.003538	-0.00221	-0.02766	-0.00050	0.042035	-0.003538	0.241752	-0.00278	-0.03450	-0.00050	   11.23	   -0.78	   55.29	   -0.86	   -0.68	   -0.15	  407.66	  987.14	   14.80	   1.194	   955.3	   40.00	3.424E+5	   0.118
       7	   5.000	   0.000	  0.7476	0.057905	 0.00159	 0.04605	-0.007469	  0.7498	0.001594	-0.00261	-0.14139	-0.00011	0.057905	-0.001594	0.747567	-0.00287	-0.15081	 0.00012	   14.42	   -0.35	  167.61	   -0.89	   -5.09	    0.04	  407.50	  987.13	   14.86	   1.194	   954.9	   39.99	3.422E+5	   0.118
       8	  10.000	   0.000	  1.0901	0.108023	 0.00091	-0.03778	-0.082911	  1.0923	0.000910	-0.00231	-0.31085	-0.00069	0.108023	-0.000910	1.090108	-0.00255	-0.32843	-0.00029	   25.27	   -0.20	  242.17	   -0.79	  -11.59	   -0.09	  407.55	  987.10	   14.88	   1.194	   955.0	   40.00	3.422E+5	   0.118
